Junction,Direction,Speed (mph),Time,Day
45 to 46,Southbound,57,13:00,Monday
46 to 47,Northbound,48,13:00,Monday
46 to 47,Southbound,48,13:00,Monday
47 to 48,Northbound,58,13:00,Monday
47 to 48,Southbound,50,13:00,Monday
1 to 2,Northbound,64,18:00,Monday
1 to 2,Southbound,58,18:00,Monday
2 to 4,Northbound,70,18:00,Monday
2 to 4,Southbound,70,18:00,Monday
4 to 5,Northbound,70,18:00,Monday
4 to 5,Southbound,70,18:00,Monday
5 to 6,Northbound,65,18:00,Monday
5 to 6,Southbound,70,18:00,Monday
6 to 6A,Northbound,68,18:00,Monday
6 to 6A,Southbound,70,18:00,Monday
6A to 7,Northbound,65,18:00,Monday
6A to 7,Southbound,61,18:00,Monday
7 to 8,Northbound,52,18:00,Monday
7 to 8,Southbound,57,18:00,Monday
8 to 9,Northbound,54,18:00,Monday
 8 to 9,Southbound,61,18:00,Monday
9 to 10,Northbound,26,18:00,Monday
9 to 10,Southbound,61,18:00,Monday
10 to 11,Northbound,39,18:00,Monday
10 to 11,Southbound,48,18:00,Monday
11 to 11A,Northbound,48,18:00,Monday
11 to 11A,Southbound,48,18:00,Monday
11A to 12,Northbound,49,18:00,Monday
11A to 12,Southbound,48,18:00,Monday
12 to 13,Northbound,51,18:00,Monday
12 to 13,Southbound,18,18:00,Monday
13 to14,Northbound,66,18:00,Monday
13 to14,Southbound,42,18:00,Monday
14 to 15,Northbound,65,18:00,Monday
14 to15,Southbound,67,18:00,Monday
15 to 15A,Northbound,67,18:00,Monday
15 to 15A,Southbound,66,18:00,Monday
15A to 16,Northbound,66,18:00,Monday
15A to 16,Southbound,66,18:00,Monday
16 to 17,Northbound,69,18:00,Monday
16 to 17,Southbound,67,18:00,Monday
17 to 18,Northbound,69,18:00,Monday
17 to 18,Southbound,64,18:00,Monday
18 to 19,Northbound,65,18:00,Monday
18 to 19,Southbound,66,18:00,Monday
19 to 20,Northbound,68,18:00,Monday
19 to 20,Southbound,68,18:00,Monday
20 to 21,Northbound,70,18:00,Monday
20 to 21,Southbound,70,18:00,Monday
21 to 21A,Northbound,60,18:00,Monday
21 to 21A,Southbound,65,18:00,Monday
21A to 22,Northbound,70,18:00,Monday
21A to 22,Southbound,70,18:00,Monday
22 to 23,Northbound,70,18:00,Monday
22 to 23,Southbound,68,18:00,Monday
23 to 23A,Northbound,69,18:00,Monday
23 to 23A,Southbound,70,18:00,Monday
23A to 24,Northbound,66,18:00,Monday
23A to 24,Southbound,67,18:00,Monday
24 to 24A,Northbound,67,18:00,Monday
24 to 24A,Southbound,70,18:00,Monday
24A to 25,Northbound,67,18:00,Monday
24A to 25,Southbound,69,18:00,Monday
25 to 26,Northbound,69,18:00,Monday
25 to 26,Southbound,68,18:00,Monday
26 to 27,Northbound,69,18:00,Monday
26 to 27,Southbound,70,18:00,Monday
27 to 28,Northbound,70,18:00,Monday
27 to 28,Southbound,68,18:00,Monday
28 to 29,Northbound,70,18:00,Monday
28 to 29,Southbound,66,18:00,Monday
29 to 29A,Northbound,70,18:00,Monday
29 to 29A,Southbound,59,18:00,Monday
29A to 30,Northbound,62,18:00,Monday
29A to 30,Southbound,60,18:00,Monday
30 to 31,Northbound,50,18:00,Monday
30 to 31,Southbound,51,18:00,Monday
31 to 32,Northbound,63,18:00,Monday
31 to 32,Southbound,52,18:00,Monday
32 to 33,Northbound,48,18:00,Monday
32 to 33,Southbound,53,18:00,Monday
33 to 34,Northbound,48,18:00,Monday
33 to 34,Southbound,49,18:00,Monday
34 to 35,Northbound,49,18:00,Monday
34 to 35,Southbound,15,18:00,Monday
35 to 35A,Northbound,61,18:00,Monday
35 to 35A,Southbound,12,18:00,Monday
35A to 36,Northbound,70,18:00,Monday
35A to 36,Southbound,58,18:00,Monday
36 to 37,Northbound,70,18:00,Monday
36 to 37,Southbound,67,18:00,Monday
37 to 38,Northbound,70,18:00,Monday
37 to 38,Southbound,67,18:00,Monday
38 to 39,Northbound,70,18:00,Monday
38 to 39,Southbound,70,18:00,Monday
39 to 40,Northbound,69,18:00,Monday
39 to 40,Southbound,66,18:00,Monday
40 to 41,Northbound,68,18:00,Monday
40 to 41,Southbound,66,18:00,Monday
41 to 42,Northbound,67,18:00,Monday
41 to 42,Southbound,69,18:00,Monday
42 to 43/44,Northbound,67,18:00,Monday
42 to 43/44,Southbound,66,18:00,Monday
43/44 to 45,Northbound,25,18:00,Monday
43/44 to 45,Southbound,66,18:00,Monday
45 to 46,Northbound,30,18:00,Monday
45 to 46,Southbound,58,18:00,Monday
46 to 47,Northbound,48,18:00,Monday
46 to 47,Southbound,46,18:00,Monday
47 to 48,Northbound,57,18:00,Monday
47 to 48,Southbound,47,18:00,Monday
1 to 2,Northbound,64,22:00,Monday
1 to 2,Southbound,57,22:00,Monday
2 to 4,Northbound,63,22:00,Monday
2 to 4,Southbound,64,22:00,Monday
4 to 5,Northbound,62,22:00,Monday
4 to 5,Southbound,63,22:00,Monday
5 to 6,Northbound,62,22:00,Monday
5 to 6,Southbound,61,22:00,Monday
6 to 6A,Northbound,59,22:00,Monday
6 to 6A,Southbound,54,22:00,Monday
6A to 7,Northbound,61,22:00,Monday
6A to 7,Southbound,61,22:00,Monday
7 to 8,Northbound,57,22:00,Monday
7 to 8,Southbound,57,22:00,Monday
8 to 9,Northbound,64,22:00,Monday
 8 to 9,Southbound,62,22:00,Monday
9 to 10,Northbound,55,22:00,Monday
9 to 10,Southbound,60,22:00,Monday
10 to 11,Northbound,48,22:00,Monday
10 to 11,Southbound,51,22:00,Monday
11 to 11A,Northbound,46,22:00,Monday
11 to 11A,Southbound,52,22:00,Monday
11A to 12,Northbound,49,22:00,Monday
11A to 12,Southbound,53,22:00,Monday
12 to 13,Northbound,48,22:00,Monday
12 to 13,Southbound,52,22:00,Monday
13 to14,Northbound,53,22:00,Monday
13 to14,Southbound,52,22:00,Monday
14 to 15,Northbound,62,22:00,Monday
14 to15,Southbound,58,22:00,Monday
15 to 15A,Northbound,67,22:00,Monday
15 to 15A,Southbound,64,22:00,Monday
15A to 16,Northbound,64,22:00,Monday
15A to 16,Southbound,67,22:00,Monday
16 to 17,Northbound,64,22:00,Monday
16 to 17,Southbound,64,22:00,Monday
17 to 18,Northbound,65,22:00,Monday
17 to 18,Southbound,42,22:00,Monday
18 to 19,Northbound,61,22:00,Monday
18 to 19,Southbound,54,22:00,Monday
19 to 20,Northbound,62,22:00,Monday
19 to 20,Southbound,52,22:00,Monday
20 to 21,Northbound,54,22:00,Monday
20 to 21,Southbound,61,22:00,Monday
21 to 21A,Northbound,59,22:00,Monday
21 to 21A,Southbound,60,22:00,Monday
21A to 22,Northbound,57,22:00,Monday
21A to 22,Southbound,67,22:00,Monday
22 to 23,Northbound,58,22:00,Monday
22 to 23,Southbound,62,22:00,Monday
23 to 23A,Northbound,67,22:00,Monday
23 to 23A,Southbound,59,22:00,Monday
23A to 24,Northbound,69,22:00,Monday
23A to 24,Southbound,51,22:00,Monday
24 to 24A,Northbound,69,22:00,Monday
24 to 24A,Southbound,53,22:00,Monday
24A to 25,Northbound,65,22:00,Monday
24A to 25,Southbound,58,22:00,Monday
25 to 26,Northbound,60,22:00,Monday
25 to 26,Southbound,60,22:00,Monday
26 to 27,Northbound,59,22:00,Monday
26 to 27,Southbound,62,22:00,Monday
27 to 28,Northbound,56,22:00,Monday
27 to 28,Southbound,56,22:00,Monday
28 to 29,Northbound,58,22:00,Monday
28 to 29,Southbound,56,22:00,Monday
29 to 29A,Northbound,41,22:00,Monday
29 to 29A,Southbound,55,22:00,Monday
29A to 30,Northbound,32,22:00,Monday
29A to 30,Southbound,54,22:00,Monday
30 to 31,Northbound,49,22:00,Monday
30 to 31,Southbound,50,22:00,Monday
31 to 32,Northbound,57,22:00,Monday
31 to 32,Southbound,50,22:00,Monday
32 to 33,Northbound,49,22:00,Monday
32 to 33,Southbound,50,22:00,Monday
33 to 34,Northbound,49,22:00,Monday
33 to 34,Southbound,52,22:00,Monday
34 to 35,Northbound,50,22:00,Monday
34 to 35,Southbound,48,22:00,Monday
35 to 35A,Northbound,56,22:00,Monday
35 to 35A,Southbound,48,22:00,Monday
35A to 36,Northbound,63,22:00,Monday
35A to 36,Southbound,59,22:00,Monday
36 to 37,Northbound,62,22:00,Monday
36 to 37,Southbound,58,22:00,Monday
37 to 38,Northbound,55,22:00,Monday
37 to 38,Southbound,59,22:00,Monday
38 to 39,Northbound,60,22:00,Monday
38 to 39,Southbound,57,22:00,Monday
39 to 40,Northbound,59,22:00,Monday
39 to 40,Southbound,49,22:00,Monday
40 to 41,Northbound,66,22:00,Monday
40 to 41,Southbound,57,22:00,Monday
41 to 42,Northbound,61,22:00,Monday
41 to 42,Southbound,66,22:00,Monday
42 to 43/44,Northbound,57,22:00,Monday
42 to 43/44,Southbound,60,22:00,Monday
43/44 to 45,Northbound,65,22:00,Monday
43/44 to 45,Southbound,62,22:00,Monday
45 to 46,Northbound,54,22:00,Monday
45 to 46,Southbound,58,22:00,Monday
46 to 47,Northbound,49,22:00,Monday
46 to 47,Southbound,44,22:00,Monday
47 to 48,Northbound,58,22:00,Monday
47 to 48,Southbound,49,22:00,Monday
1 to 2,Northbound,67,08:00,Tuesday
1 to 2,Southbound,53,08:00,Tuesday
2 to 4,Northbound,68,08:00,Tuesday
2 to 4,Southbound,65,08:00,Tuesday
4 to 5,Northbound,67,08:00,Tuesday
4 to 5,Southbound,49,08:00,Tuesday
5 to 6,Northbound,69,08:00,Tuesday
5 to 6,Southbound,32,08:00,Tuesday
6 to 6A,Northbound,70,08:00,Tuesday
6 to 6A,Southbound,41,08:00,Tuesday
6A to 7,Northbound,57,08:00,Tuesday
6A to 7,Southbound,55,08:00,Tuesday
7 to 8,Northbound,50,08:00,Tuesday
7 to 8,Southbound,55,08:00,Tuesday
8 to 9,Northbound,60,08:00,Tuesday
 8 to 9,Southbound,39,08:00,Tuesday
9 to 10,Northbound,51,08:00,Tuesday
9 to 10,Southbound,36,08:00,Tuesday
10 to 11,Northbound,46,08:00,Tuesday
10 to 11,Southbound,35,08:00,Tuesday
11 to 11A,Northbound,50,08:00,Tuesday
11 to 11A,Southbound,18,08:00,Tuesday
11A to 12,Northbound,49,08:00,Tuesday
11A to 12,Southbound,12,08:00,Tuesday
12 to 13,Northbound,43,08:00,Tuesday
12 to 13,Southbound,43,08:00,Tuesday
13 to14,Northbound,64,08:00,Tuesday
13 to14,Southbound,55,08:00,Tuesday
14 to 15,Northbound,62,08:00,Tuesday
14 to15,Southbound,57,08:00,Tuesday
15 to 15A,Northbound,65,08:00,Tuesday
15 to 15A,Southbound,62,08:00,Tuesday
15A to 16,Northbound,65,08:00,Tuesday
15A to 16,Southbound,63,08:00,Tuesday
16 to 17,Northbound,63,08:00,Tuesday
16 to 17,Southbound,62,08:00,Tuesday
17 to 18,Northbound,63,08:00,Tuesday
17 to 18,Southbound,66,08:00,Tuesday
18 to 19,Northbound,58,08:00,Tuesday
18 to 19,Southbound,61,08:00,Tuesday
19 to 20,Northbound,57,08:00,Tuesday
19 to 20,Southbound,69,08:00,Tuesday
20 to 21,Northbound,61,08:00,Tuesday
20 to 21,Southbound,65,08:00,Tuesday
21 to 21A,Northbound,55,08:00,Tuesday
21 to 21A,Southbound,33,08:00,Tuesday
21A to 22,Northbound,58,08:00,Tuesday
21A to 22,Southbound,27,08:00,Tuesday
22 to 23,Northbound,61,08:00,Tuesday
22 to 23,Southbound,57,08:00,Tuesday
23 to 23A,Northbound,58,08:00,Tuesday
23 to 23A,Southbound,61,08:00,Tuesday
23A to 24,Northbound,52,08:00,Tuesday
23A to 24,Southbound,52,08:00,Tuesday
24 to 24A,Northbound,60,08:00,Tuesday
24 to 24A,Southbound,26,08:00,Tuesday
24A to 25,Northbound,61,08:00,Tuesday
24A to 25,Southbound,53,08:00,Tuesday
25 to 26,Northbound,60,08:00,Tuesday
25 to 26,Southbound,31,08:00,Tuesday
26 to 27,Northbound,64,08:00,Tuesday
26 to 27,Southbound,60,08:00,Tuesday
27 to 28,Northbound,62,08:00,Tuesday
27 to 28,Southbound,61,08:00,Tuesday
28 to 29,Northbound,63,08:00,Tuesday
28 to 29,Southbound,52,08:00,Tuesday
29 to 29A,Northbound,51,08:00,Tuesday
29 to 29A,Southbound,66,08:00,Tuesday
29A to 30,Northbound,32,08:00,Tuesday
29A to 30,Southbound,51,08:00,Tuesday
30 to 31,Northbound,51,08:00,Tuesday
30 to 31,Southbound,48,08:00,Tuesday
31 to 32,Northbound,37,08:00,Tuesday
31 to 32,Southbound,52,08:00,Tuesday
32 to 33,Northbound,31,08:00,Tuesday
32 to 33,Southbound,53,08:00,Tuesday
33 to 34,Northbound,48,08:00,Tuesday
33 to 34,Southbound,49,08:00,Tuesday
34 to 35,Northbound,48,08:00,Tuesday
34 to 35,Southbound,49,08:00,Tuesday
35 to 35A,Northbound,60,08:00,Tuesday
35 to 35A,Southbound,29,08:00,Tuesday
35A to 36,Northbound,66,08:00,Tuesday
35A to 36,Southbound,43,08:00,Tuesday
36 to 37,Northbound,62,08:00,Tuesday
36 to 37,Southbound,64,08:00,Tuesday
37 to 38,Northbound,67,08:00,Tuesday
37 to 38,Southbound,63,08:00,Tuesday
38 to 39,Northbound,65,08:00,Tuesday
38 to 39,Southbound,62,08:00,Tuesday
39 to 40,Northbound,61,08:00,Tuesday
39 to 40,Southbound,63,08:00,Tuesday
40 to 41,Northbound,50,08:00,Tuesday
40 to 41,Southbound,63,08:00,Tuesday
41 to 42,Northbound,59,08:00,Tuesday
41 to 42,Southbound,65,08:00,Tuesday
42 to 43/44,Northbound,35,08:00,Tuesday
42 to 43/44,Southbound,65,08:00,Tuesday
43/44 to 45,Northbound,12,08:00,Tuesday
43/44 to 45,Southbound,64,08:00,Tuesday
45 to 46,Northbound,31,08:00,Tuesday
45 to 46,Southbound,57,08:00,Tuesday
46 to 47,Northbound,48,08:00,Tuesday
46 to 47,Southbound,38,08:00,Tuesday
47 to 48,Northbound,54,08:00,Tuesday
47 to 48,Southbound,24,08:00,Tuesday
1 to 2,Northbound,58,13:00,Tuesday
1 to 2,Southbound,57,13:00,Tuesday
2 to 4,Northbound,60,13:00,Tuesday
2 to 4,Southbound,61,13:00,Tuesday
4 to 5,Northbound,66,13:00,Tuesday
4 to 5,Southbound,64,13:00,Tuesday
5 to 6,Northbound,65,13:00,Tuesday
5 to 6,Southbound,70,13:00,Tuesday
6 to 6A,Northbound,65,13:00,Tuesday
6 to 6A,Southbound,70,13:00,Tuesday
6A to 7,Northbound,59,13:00,Tuesday
6A to 7,Southbound,60,13:00,Tuesday
7 to 8,Northbound,59,13:00,Tuesday
7 to 8,Southbound,45,13:00,Tuesday
8 to 9,Northbound,65,13:00,Tuesday
 8 to 9,Southbound,61,13:00,Tuesday
9 to 10,Northbound,54,13:00,Tuesday
9 to 10,Southbound,61,13:00,Tuesday
10 to 11,Northbound,48,13:00,Tuesday
10 to 11,Southbound,40,13:00,Tuesday
11 to 11A,Northbound,51,13:00,Tuesday
11 to 11A,Southbound,29,13:00,Tuesday
11A to 12,Northbound,51,13:00,Tuesday
11A to 12,Southbound,15,13:00,Tuesday
12 to 13,Northbound,48,13:00,Tuesday
12 to 13,Southbound,47,13:00,Tuesday
13 to14,Northbound,62,13:00,Tuesday
13 to14,Southbound,60,13:00,Tuesday
14 to 15,Northbound,64,13:00,Tuesday
14 to15,Southbound,62,13:00,Tuesday
15 to 15A,Northbound,64,13:00,Tuesday
15 to 15A,Southbound,58,13:00,Tuesday
15A to 16,Northbound,59,13:00,Tuesday
15A to 16,Southbound,58,13:00,Tuesday
16 to 17,Northbound,62,13:00,Tuesday
16 to 17,Southbound,63,13:00,Tuesday
17 to 18,Northbound,63,13:00,Tuesday
17 to 18,Southbound,65,13:00,Tuesday
18 to 19,Northbound,61,13:00,Tuesday
18 to 19,Southbound,67,13:00,Tuesday
19 to 20,Northbound,63,13:00,Tuesday
19 to 20,Southbound,64,13:00,Tuesday
20 to 21,Northbound,67,13:00,Tuesday
20 to 21,Southbound,65,13:00,Tuesday
21 to 21A,Northbound,58,13:00,Tuesday
21 to 21A,Southbound,64,13:00,Tuesday
21A to 22,Northbound,64,13:00,Tuesday
21A to 22,Southbound,67,13:00,Tuesday
22 to 23,Northbound,68,13:00,Tuesday
22 to 23,Southbound,62,13:00,Tuesday
23 to 23A,Northbound,64,13:00,Tuesday
23 to 23A,Southbound,63,13:00,Tuesday
23A to 24,Northbound,59,13:00,Tuesday
23A to 24,Southbound,60,13:00,Tuesday
24 to 24A,Northbound,62,13:00,Tuesday
24 to 24A,Southbound,57,13:00,Tuesday
24A to 25,Northbound,57,13:00,Tuesday
24A to 25,Southbound,64,13:00,Tuesday
25 to 26,Northbound,61,13:00,Tuesday
25 to 26,Southbound,59,13:00,Tuesday
26 to 27,Northbound,62,13:00,Tuesday
26 to 27,Southbound,61,13:00,Tuesday
27 to 28,Northbound,62,13:00,Tuesday
27 to 28,Southbound,68,13:00,Tuesday
28 to 29,Northbound,61,13:00,Tuesday
28 to 29,Southbound,62,13:00,Tuesday
29 to 29A,Northbound,61,13:00,Tuesday
29 to 29A,Southbound,59,13:00,Tuesday
29A to 30,Northbound,47,13:00,Tuesday
29A to 30,Southbound,16,13:00,Tuesday
30 to 31,Northbound,47,13:00,Tuesday
30 to 31,Southbound,42,13:00,Tuesday
31 to 32,Northbound,60,13:00,Tuesday
31 to 32,Southbound,49,13:00,Tuesday
32 to 33,Northbound,48,13:00,Tuesday
32 to 33,Southbound,53,13:00,Tuesday
33 to 34,Northbound,49,13:00,Tuesday
33 to 34,Southbound,50,13:00,Tuesday
34 to 35,Northbound,48,13:00,Tuesday
34 to 35,Southbound,48,13:00,Tuesday
35 to 35A,Northbound,56,13:00,Tuesday
35 to 35A,Southbound,52,13:00,Tuesday
35A to 36,Northbound,61,13:00,Tuesday
35A to 36,Southbound,63,13:00,Tuesday
36 to 37,Northbound,62,13:00,Tuesday
36 to 37,Southbound,66,13:00,Tuesday
37 to 38,Northbound,66,13:00,Tuesday
37 to 38,Southbound,65,13:00,Tuesday
38 to 39,Northbound,61,13:00,Tuesday
38 to 39,Southbound,62,13:00,Tuesday
39 to 40,Northbound,58,13:00,Tuesday
39 to 40,Southbound,63,13:00,Tuesday
40 to 41,Northbound,61,13:00,Tuesday
40 to 41,Southbound,63,13:00,Tuesday
41 to 42,Northbound,65,13:00,Tuesday
41 to 42,Southbound,63,13:00,Tuesday
42 to 43/44,Northbound,60,13:00,Tuesday
42 to 43/44,Southbound,65,13:00,Tuesday
43/44 to 45,Northbound,61,13:00,Tuesday
43/44 to 45,Southbound,61,13:00,Tuesday
45 to 46,Northbound,50,13:00,Tuesday
45 to 46,Southbound,56,13:00,Tuesday
46 to 47,Northbound,56,13:00,Tuesday
46 to 47,Southbound,47,13:00,Tuesday
47 to 48,Northbound,59,13:00,Tuesday
47 to 48,Southbound,47,13:00,Tuesday
1 to 2,Northbound,62,18:00,Tuesday
1 to 2,Southbound,56,18:00,Tuesday
